";bear","ʕ•ᴥ•ʔ",""
";bigeyes","◉_◉",""
";bigsmile","ʘ‿ʘ",""
";bunny","|￣￣￣￣￣|
| HOW  DO | 
|   I MAKE   | 
| BUNNY?? | 
| ＿＿＿＿__| 
(\__/) || 
(•ㅅ•) || 
/ 　 づ",""
";cry","ಠ_ಥ",""
";eyebrow","ಠಿ_ಠ",""
";idk","¯\_(°_o)_/¯",""
";kirby","༼ つ ◕_◕ ༽つ",""
";love","♥‿♥",""
";mdidk","¯\\\_(°_o)\_/¯",""
";mdshrug","¯\\\_(ツ)\_/¯",""
";mdyay","<p style=""font-style: normal; font-variant-caps: normal; font-weight: normal; line-height: normal;"">\\(•◡•)/</p>",""
";shrug","¯\_(ツ)_/¯",""
";supersad","(ಥ﹏ಥ)",""
";throw","(╯°□°)╯︵ ┻━┻",""
";unamused","ಠ_ಠ",""
";yay","<p style=""font-style: normal; font-variant-caps: normal; font-weight: normal; line-height: normal;"">\(•◡•)/</p>",""
";yell","ヽ(｀○´)/",""
