";dc","Doctrine &amp; Covenants","D&C"
";km","Keyboard Maestro",""
";mnl","multinomial",""
"alt-right","racist white nationalists",""
"authn","authoritarian",""
"charrs","characteristics",""
"consttal","constitutional",""
"consttn","constitution",""
"entrepal","entrepreneurial",""
"entrepr","entrepreneur",""
"hrcl","hierarchical",""
"insttal","institutional","institutional"
"insttn","institution","institution "
"intal","international",""
"libl","liberal",""
"libm","liberalism",""
"nibl","neoliberal",""
"nibm","neoliberalism",""
"nonstate","non-state",""
"oopc","opportunity cost",""
"orgal","organizational",""
"orgg","organization",""
"ppf","preference falsification",""
"transal","transnational",""
"vis-a-vis","vis-à-vis",""
